nt, t, solve_time
1, 0.01000, 67.10253
2, 0.02000, 72.09424
3, 0.03000, 48.65464
4, 0.04000, 29.09908
5, 0.05000, 49.44337
6, 0.06000, 28.34553
7, 0.07000, 25.34112
8, 0.08000, 37.00517
9, 0.09000, 31.47952
10, 0.10000, 26.69526
11, 0.11000, 22.19992
12, 0.12000, 29.40665
13, 0.13000, 32.31438
14, 0.14000, 37.26573
15, 0.15000, 38.90407
16, 0.16000, 53.25455
17, 0.17000, 37.88459
18, 0.18000, 25.15364
19, 0.19000, 36.29663
20, 0.20000, 47.36037
21, 0.21000, 39.62565
22, 0.22000, 36.39200
23, 0.23000, 27.86797
24, 0.24000, 28.74194
25, 0.25000, 34.16899
26, 0.26000, 9.22052
27, 0.27000, 17.29504
28, 0.28000, 20.10998
29, 0.29000, 16.51614
30, 0.30000, 36.25584
31, 0.31000, 34.36889
32, 0.32000, 18.41599
33, 0.33000, 40.11316
34, 0.34000, 30.41075
35, 0.35000, 23.48255
36, 0.36000, 27.11826
37, 0.37000, 19.99619
38, 0.38000, 30.46616
39, 0.39000, 21.25388
40, 0.40000, 18.41155
41, 0.41000, 27.40144
42, 0.42000, 22.86791
43, 0.43000, 16.15026
44, 0.44000, 18.08490
45, 0.45000, 24.10984
46, 0.46000, 29.61957
47, 0.47000, 26.13000
48, 0.48000, 28.49766
49, 0.49000, 25.45528
50, 0.50000, 13.04342
51, 0.51000, 20.38270
52, 0.52000, 24.62924
53, 0.53000, 33.15254
54, 0.54000, 32.25131
55, 0.55000, 27.16531
56, 0.56000, 24.73952
57, 0.57000, 31.56891
58, 0.58000, 20.03943
59, 0.59000, 14.47006
60, 0.60000, 25.19700
61, 0.61000, 31.93978
62, 0.62000, 28.75330
63, 0.63000, 19.07639
64, 0.64000, 16.52665
65, 0.65000, 17.65249
66, 0.66000, 12.81189
67, 0.67000, 22.72969
68, 0.68000, 16.32927
69, 0.69000, 16.47494
70, 0.70000, 14.18113
71, 0.71000, 21.40787
72, 0.72000, 14.65024
73, 0.73000, 13.20379
74, 0.74000, 14.05041
75, 0.75000, 17.69306
76, 0.76000, 14.18716
77, 0.77000, 18.99749
78, 0.78000, 13.46400
79, 0.79000, 14.13540
80, 0.80000, 13.21132
81, 0.81000, 13.09217
82, 0.82000, 15.70405
83, 0.83000, 17.08062
84, 0.84000, 14.31415
85, 0.85000, 17.63651
86, 0.86000, 14.09327
87, 0.87000, 17.52561
88, 0.88000, 19.31242
89, 0.89000, 18.88511
90, 0.90000, 14.95539
91, 0.91000, 14.72149
92, 0.92000, 13.71176
93, 0.93000, 18.89270
94, 0.94000, 19.55360
95, 0.95000, 19.56816
96, 0.96000, 18.13400
97, 0.97000, 13.71556
98, 0.98000, 20.14184
99, 0.99000, 19.45337
100, 1.00000, 29.20045
101, 1.01000, 14.15508
102, 1.02000, 19.99004
103, 1.03000, 17.13705
104, 1.04000, 12.50752
105, 1.05000, 16.40086
106, 1.06000, 16.87362
107, 1.07000, 26.37650
108, 1.08000, 21.56061
109, 1.09000, 16.88886
110, 1.10000, 12.07106
111, 1.11000, 14.66588
112, 1.12000, 8.11206
113, 1.13000, 18.66735
114, 1.14000, 9.46149
115, 1.15000, 19.42945
116, 1.16000, 15.75123
117, 1.17000, 17.03541
118, 1.18000, 18.00045
119, 1.19000, 20.75497
120, 1.20000, 24.77743
121, 1.21000, 14.75614
122, 1.22000, 16.70983
123, 1.23000, 11.11717
124, 1.24000, 17.64246
125, 1.25000, 13.97816
126, 1.26000, 8.08919
127, 1.27000, 14.65291
128, 1.28000, 24.34673
129, 1.29000, 15.32083
130, 1.30000, 25.66618
131, 1.31000, 19.47249
132, 1.32000, 24.89528
133, 1.33000, 23.10424
134, 1.34000, 14.79525
135, 1.35000, 18.75365
136, 1.36000, 17.42385
137, 1.37000, 15.05487
138, 1.38000, 15.18598
139, 1.39000, 17.47033
140, 1.40000, 21.87806
141, 1.41000, 20.50964
142, 1.42000, 19.73772
143, 1.43000, 19.49276
144, 1.44000, 18.13165
145, 1.45000, 16.07888
146, 1.46000, 16.15947
147, 1.47000, 19.63844
148, 1.48000, 11.75370
149, 1.49000, 15.99290
150, 1.50000, 14.93535
151, 1.51000, 9.44795
152, 1.52000, 11.32819
153, 1.53000, 19.27477
154, 1.54000, 22.71763
155, 1.55000, 25.95300
156, 1.56000, 12.04148
157, 1.57000, 18.73482
158, 1.58000, 10.37519
159, 1.59000, 14.65161
160, 1.60000, 25.06096
161, 1.61000, 18.08228
162, 1.62000, 15.84659
163, 1.63000, 19.52238
164, 1.64000, 20.06544
165, 1.65000, 23.56283
166, 1.66000, 19.15768
167, 1.67000, 19.32601
168, 1.68000, 13.25942
169, 1.69000, 21.29387
170, 1.70000, 17.88827
171, 1.71000, 22.31660
172, 1.72000, 13.76431
173, 1.73000, 22.05215
174, 1.74000, 17.38550
175, 1.75000, 22.60994
176, 1.76000, 13.99909
177, 1.77000, 19.82541
178, 1.78000, 12.50610
179, 1.79000, 17.90014
180, 1.80000, 18.75854
181, 1.81000, 18.33482
182, 1.82000, 22.48190
183, 1.83000, 18.52930
184, 1.84000, 16.35943
185, 1.85000, 20.73867
186, 1.86000, 16.60890
187, 1.87000, 13.82456
188, 1.88000, 21.53508
189, 1.89000, 14.97150
190, 1.90000, 17.89942
191, 1.91000, 14.09096
192, 1.92000, 20.98315
193, 1.93000, 22.21819
194, 1.94000, 17.99367
195, 1.95000, 23.31178
196, 1.96000, 26.22447
197, 1.97000, 23.55913
198, 1.98000, 18.68364
199, 1.99000, 18.87991
200, 2.00000, 11.03890
201, 2.01000, 14.03884
202, 2.02000, 22.69813
203, 2.03000, 16.50382
204, 2.04000, 18.53660
205, 2.05000, 19.32616
206, 2.06000, 18.75206
207, 2.07000, 13.94200
208, 2.08000, 18.27812
209, 2.09000, 22.52199
210, 2.10000, 20.77124
211, 2.11000, 21.56863
212, 2.12000, 15.78695
213, 2.13000, 23.06078
214, 2.14000, 27.93081
215, 2.15000, 24.62669
216, 2.16000, 26.26842
217, 2.17000, 22.83757
218, 2.18000, 37.30850
219, 2.19000, 33.34615
220, 2.20000, 34.99417
221, 2.21000, 23.28826
222, 2.22000, 24.23311
223, 2.23000, 24.26099
224, 2.24000, 27.43582
225, 2.25000, 24.53966
226, 2.26000, 26.02301
227, 2.27000, 28.70509
228, 2.28000, 24.43239
229, 2.29000, 22.54778
230, 2.30000, 21.57021
231, 2.31000, 19.81159
232, 2.32000, 18.78919
233, 2.33000, 13.22448
234, 2.34000, 17.35244
235, 2.35000, 26.33777
236, 2.36000, 25.33893
237, 2.37000, 20.70202
238, 2.38000, 17.17907
239, 2.39000, 18.42471
240, 2.40000, 19.35953
241, 2.41000, 25.70641
242, 2.42000, 20.69667
243, 2.43000, 25.98420
244, 2.44000, 30.10305
245, 2.45000, 22.28751
246, 2.46000, 23.72443
247, 2.47000, 27.89937
248, 2.48000, 32.87801
249, 2.49000, 26.30708
250, 2.50000, 21.76212
251, 2.51000, 23.00042
252, 2.52000, 23.45748
253, 2.53000, 20.23138
254, 2.54000, 18.85169
255, 2.55000, 20.18256
256, 2.56000, 22.98347
257, 2.57000, 25.23302
258, 2.58000, 23.10502
259, 2.59000, 26.72123
260, 2.60000, 26.93696
261, 2.61000, 27.09644
262, 2.62000, 17.95474
