nt, t, solve_time
1, 0.01000, 62.82259
2, 0.02000, 48.75567
3, 0.03000, 55.63833
4, 0.04000, 28.47820
5, 0.05000, 48.66604
6, 0.06000, 31.46834
7, 0.07000, 31.35830
8, 0.08000, 30.44003
9, 0.09000, 36.13514
10, 0.10000, 37.19527
11, 0.11000, 30.57806
12, 0.12000, 29.73609
13, 0.13000, 40.00689
14, 0.14000, 46.38872
15, 0.15000, 39.82128
16, 0.16000, 32.70914
17, 0.17000, 35.92612
18, 0.18000, 46.91420
19, 0.19000, 29.05118
20, 0.20000, 25.26416
21, 0.21000, 26.53511
22, 0.22000, 24.08438
23, 0.23000, 29.05045
24, 0.24000, 27.63516
25, 0.25000, 33.65410
26, 0.26000, 26.86817
27, 0.27000, 31.31527
28, 0.28000, 14.65414
29, 0.29000, 19.24412
30, 0.30000, 23.73475
31, 0.31000, 25.15704
32, 0.32000, 32.14688
33, 0.33000, 30.12304
34, 0.34000, 24.18812
35, 0.35000, 15.82599
36, 0.36000, 19.12665
37, 0.37000, 26.84259
38, 0.38000, 23.96370
39, 0.39000, 27.70921
40, 0.40000, 23.70730
41, 0.41000, 21.97376
42, 0.42000, 20.95295
43, 0.43000, 18.57834
44, 0.44000, 17.09763
45, 0.45000, 24.33079
46, 0.46000, 15.60086
47, 0.47000, 19.98441
48, 0.48000, 29.36825
49, 0.49000, 22.98445
50, 0.50000, 28.10949
51, 0.51000, 17.19604
52, 0.52000, 34.98963
53, 0.53000, 19.92555
54, 0.54000, 24.31324
55, 0.55000, 16.10154
56, 0.56000, 21.82197
57, 0.57000, 26.47452
58, 0.58000, 22.62929
59, 0.59000, 17.90174
60, 0.60000, 30.83100
61, 0.61000, 31.13768
62, 0.62000, 30.22546
63, 0.63000, 27.58615
64, 0.64000, 23.67852
65, 0.65000, 16.75375
66, 0.66000, 17.21698
67, 0.67000, 16.86290
68, 0.68000, 13.90265
69, 0.69000, 18.57013
70, 0.70000, 18.08079
71, 0.71000, 16.56959
72, 0.72000, 22.61048
73, 0.73000, 18.49006
74, 0.74000, 14.53502
75, 0.75000, 22.69170
76, 0.76000, 25.33232
77, 0.77000, 10.43760
78, 0.78000, 13.17839
79, 0.79000, 13.58193
80, 0.80000, 17.89310
81, 0.81000, 19.88779
82, 0.82000, 17.73787
83, 0.83000, 13.23299
84, 0.84000, 16.63482
85, 0.85000, 20.47674
86, 0.86000, 21.27162
87, 0.87000, 20.01249
88, 0.88000, 22.21547
89, 0.89000, 14.84515
90, 0.90000, 16.20002
91, 0.91000, 10.94391
92, 0.92000, 13.61815
93, 0.93000, 17.37552
94, 0.94000, 22.89978
95, 0.95000, 18.27417
96, 0.96000, 21.26356
97, 0.97000, 18.37173
98, 0.98000, 12.89533
99, 0.99000, 14.49808
100, 1.00000, 16.08079
101, 1.01000, 16.80421
102, 1.02000, 17.42131
103, 1.03000, 20.17405
104, 1.04000, 17.60771
105, 1.05000, 15.66968
106, 1.06000, 17.36418
107, 1.07000, 22.71242
108, 1.08000, 19.13755
109, 1.09000, 24.23283
110, 1.10000, 22.96002
111, 1.11000, 21.85308
112, 1.12000, 17.21497
113, 1.13000, 25.20601
114, 1.14000, 18.41436
115, 1.15000, 23.31560
116, 1.16000, 10.76851
117, 1.17000, 18.22677
118, 1.18000, 19.94842
119, 1.19000, 19.63696
120, 1.20000, 18.92960
121, 1.21000, 19.84215
122, 1.22000, 20.65132
123, 1.23000, 7.75588
124, 1.24000, 14.59599
125, 1.25000, 16.62877
126, 1.26000, 22.84421
127, 1.27000, 23.48040
128, 1.28000, 18.61878
129, 1.29000, 18.07957
130, 1.30000, 19.22051
131, 1.31000, 26.57768
132, 1.32000, 19.50422
133, 1.33000, 20.37953
134, 1.34000, 19.79394
135, 1.35000, 17.37356
136, 1.36000, 14.60149
137, 1.37000, 12.39612
138, 1.38000, 16.22179
139, 1.39000, 18.40477
140, 1.40000, 19.89346
141, 1.41000, 17.03088
142, 1.42000, 18.07013
143, 1.43000, 12.44274
144, 1.44000, 24.42574
145, 1.45000, 17.46389
146, 1.46000, 23.87227
147, 1.47000, 15.87453
148, 1.48000, 22.43564
149, 1.49000, 18.56608
150, 1.50000, 23.22790
151, 1.51000, 21.71067
152, 1.52000, 24.29973
153, 1.53000, 22.03055
154, 1.54000, 19.62825
155, 1.55000, 11.84469
156, 1.56000, 18.91965
157, 1.57000, 19.71464
158, 1.58000, 19.47259
159, 1.59000, 22.45504
160, 1.60000, 21.63083
161, 1.61000, 24.04860
162, 1.62000, 25.24334
163, 1.63000, 33.27580
164, 1.64000, 30.84642
165, 1.65000, 29.01100
166, 1.66000, 32.02958
167, 1.67000, 26.34621
168, 1.68000, 29.12868
169, 1.69000, 21.43538
170, 1.70000, 22.11916
171, 1.71000, 18.93731
172, 1.72000, 28.96404
173, 1.73000, 26.47558
174, 1.74000, 19.86961
175, 1.75000, 24.51361
176, 1.76000, 28.66909
177, 1.77000, 19.73097
178, 1.78000, 40.38356
179, 1.79000, 25.45347
180, 1.80000, 37.65384
181, 1.81000, 30.42241
182, 1.82000, 25.74056
183, 1.83000, 22.19868
184, 1.84000, 26.49433
185, 1.85000, 44.10568
186, 1.86000, 26.36153
187, 1.87000, 30.67980
188, 1.88000, 31.70470
189, 1.89000, 30.78661
190, 1.90000, 33.06007
191, 1.91000, 23.58461
192, 1.92000, 20.19410
193, 1.93000, 30.54106
194, 1.94000, 34.89984
195, 1.95000, 33.34849
196, 1.96000, 32.99641
197, 1.97000, 33.29960
198, 1.98000, 24.69940
199, 1.99000, 27.89386
200, 2.00000, 18.17988
201, 2.01000, 18.70539
202, 2.02000, 28.40189
203, 2.03000, 26.40765
204, 2.04000, 26.75409
205, 2.05000, 27.49085
206, 2.06000, 29.23313
207, 2.07000, 24.09222
208, 2.08000, 19.66747
209, 2.09000, 23.56254
210, 2.10000, 26.05621
211, 2.11000, 21.33213
212, 2.12000, 25.85304
213, 2.13000, 24.98881
214, 2.14000, 27.60349
215, 2.15000, 28.35233
216, 2.16000, 25.94423
217, 2.17000, 23.37324
218, 2.18000, 22.82593
219, 2.19000, 23.73699
220, 2.20000, 23.31623
221, 2.21000, 23.70812
222, 2.22000, 28.61682
223, 2.23000, 15.01757
224, 2.24000, 18.31555
225, 2.25000, 22.82604
226, 2.26000, 18.33566
227, 2.27000, 20.15600
228, 2.28000, 19.45047
229, 2.29000, 25.89593
230, 2.30000, 20.83622
231, 2.31000, 25.26509
232, 2.32000, 26.22588
233, 2.33000, 26.20260
234, 2.34000, 23.61813
235, 2.35000, 23.54186
236, 2.36000, 30.08111
237, 2.37000, 25.79144
238, 2.38000, 19.73830
239, 2.39000, 20.54293
240, 2.40000, 25.03459
241, 2.41000, 21.43179
242, 2.42000, 22.69132
243, 2.43000, 17.66893
244, 2.44000, 19.22572
245, 2.45000, 25.92587
246, 2.46000, 30.05872
247, 2.47000, 25.32353
248, 2.48000, 22.16356
249, 2.49000, 17.86124
250, 2.50000, 23.30133
251, 2.51000, 21.07881
252, 2.52000, 27.66628
253, 2.53000, 24.83113
254, 2.54000, 25.41669
255, 2.55000, 25.35946
256, 2.56000, 25.12672
257, 2.57000, 20.98951
258, 2.58000, 22.27953
259, 2.59000, 24.19411
260, 2.60000, 24.43992
261, 2.61000, 26.45583
262, 2.62000, 31.23861
263, 2.63000, 21.92773
264, 2.64000, 24.03657
265, 2.65000, 22.03803
266, 2.66000, 26.96242
267, 2.67000, 25.19141
268, 2.68000, 25.50116
269, 2.69000, 18.83150
270, 2.70000, 23.28129
271, 2.71000, 20.15333
272, 2.72000, 19.24450
273, 2.73000, 19.71993
274, 2.74000, 24.66682
275, 2.75000, 26.51372
276, 2.76000, 17.39226
277, 2.77000, 27.83789
278, 2.78000, 31.68039
279, 2.79000, 18.08164
280, 2.80000, 22.52281
281, 2.81000, 24.72522
282, 2.82000, 28.66314
283, 2.83000, 26.48812
284, 2.84000, 25.84745
285, 2.85000, 28.29719
286, 2.86000, 16.71195
287, 2.87000, 26.55063
288, 2.88000, 22.08454
289, 2.89000, 26.32744
290, 2.90000, 21.92432
291, 2.91000, 21.75938
292, 2.92000, 30.72811
293, 2.93000, 14.59380
294, 2.94000, 24.54240
295, 2.95000, 27.08577
296, 2.96000, 23.23330
297, 2.97000, 16.86095
298, 2.98000, 15.75861
299, 2.99000, 15.12233
300, 3.00000, 15.85305
301, 3.01000, 22.37336
302, 3.02000, 20.81888
303, 3.03000, 20.89663
304, 3.04000, 20.89080
305, 3.05000, 17.01722
306, 3.06000, 19.49012
307, 3.07000, 18.99441
308, 3.08000, 16.69016
309, 3.09000, 16.89406
310, 3.10000, 22.08487
311, 3.11000, 22.64125
312, 3.12000, 17.78978
313, 3.13000, 22.46148
314, 3.14000, 21.13106
315, 3.15000, 20.14064
316, 3.16000, 20.77300
317, 3.17000, 18.96382
318, 3.18000, 13.98126
319, 3.19000, 18.09450
320, 3.20000, 16.25475
321, 3.21000, 23.88154
322, 3.22000, 30.58183
323, 3.23000, 20.27217
324, 3.24000, 24.22157
325, 3.25000, 27.10961
326, 3.26000, 22.90634
327, 3.27000, 24.94044
328, 3.28000, 19.16627
329, 3.29000, 20.66127
330, 3.30000, 16.24158
331, 3.31000, 18.42381
332, 3.32000, 13.95575
333, 3.33000, 12.00881
334, 3.34000, 13.09787
335, 3.35000, 15.67855
336, 3.36000, 22.47186
337, 3.37000, 18.40969
338, 3.38000, 19.47474
339, 3.39000, 22.17070
340, 3.40000, 22.60383
341, 3.41000, 21.12140
342, 3.42000, 21.41613
343, 3.43000, 21.75894
344, 3.44000, 20.35363
345, 3.45000, 16.16109
346, 3.46000, 20.12962
347, 3.47000, 18.34731
348, 3.48000, 24.10306
349, 3.49000, 21.80682
350, 3.50000, 21.72643
351, 3.51000, 17.24705
352, 3.52000, 19.89083
353, 3.53000, 19.08499
354, 3.54000, 26.62908
355, 3.55000, 19.13021
356, 3.56000, 23.13230
357, 3.57000, 20.99041
358, 3.58000, 25.27842
359, 3.59000, 18.78458
360, 3.60000, 17.69254
361, 3.61000, 18.65721
362, 3.62000, 19.46425
363, 3.63000, 17.82905
364, 3.64000, 21.41738
365, 3.65000, 11.86151
366, 3.66000, 13.16317
367, 3.67000, 12.67574
368, 3.68000, 15.75400
369, 3.69000, 20.21876
370, 3.70000, 19.62063
371, 3.71000, 22.87988
372, 3.72000, 26.80084
373, 3.73000, 27.34000
374, 3.74000, 27.42309
375, 3.75000, 22.92028
376, 3.76000, 24.69883
377, 3.77000, 23.76532
378, 3.78000, 23.18378
379, 3.79000, 21.74921
380, 3.80000, 31.77283
381, 3.81000, 21.48048
382, 3.82000, 16.42809
383, 3.83000, 16.01494
384, 3.84000, 22.02202
385, 3.85000, 16.79434
386, 3.86000, 23.61724
387, 3.87000, 25.18844
388, 3.88000, 26.58899
389, 3.89000, 24.27805
390, 3.90000, 20.11934
391, 3.91000, 21.07586
392, 3.92000, 22.70424
393, 3.93000, 23.35074
394, 3.94000, 20.67623
395, 3.95000, 22.58705
396, 3.96000, 19.34150
397, 3.97000, 20.93736
398, 3.98000, 24.24572
399, 3.99000, 25.88844
400, 4.00000, 23.29889
401, 4.01000, 18.49788
402, 4.02000, 19.28940
403, 4.03000, 18.48763
404, 4.04000, 23.97445
405, 4.05000, 21.47420
406, 4.06000, 27.89577
407, 4.07000, 24.02154
408, 4.08000, 23.67199
409, 4.09000, 37.78165
410, 4.10000, 25.60104
411, 4.11000, 23.53994
412, 4.12000, 20.70021
413, 4.13000, 23.77599
414, 4.14000, 22.04603
415, 4.15000, 24.43497
416, 4.16000, 29.12873
417, 4.17000, 24.08446
418, 4.18000, 19.59760
419, 4.19000, 18.62640
420, 4.20000, 16.75873
421, 4.21000, 18.97607
422, 4.22000, 29.02565
423, 4.23000, 28.28109
424, 4.24000, 21.90503
425, 4.25000, 32.20390
426, 4.26000, 26.78255
427, 4.27000, 24.55305
428, 4.28000, 26.38066
429, 4.29000, 25.32367
