nt, t, solve_time
1, 0.01000, 43.77285
2, 0.02000, 41.32703
3, 0.03000, 56.28952
4, 0.04000, 59.42359
5, 0.05000, 56.65807
6, 0.06000, 36.34281
7, 0.07000, 58.98286
8, 0.08000, 39.66995
9, 0.09000, 30.53532
10, 0.10000, 32.93801
11, 0.11000, 27.77751
12, 0.12000, 35.20287
13, 0.13000, 26.87265
14, 0.14000, 34.05360
15, 0.15000, 36.06605
16, 0.16000, 27.13239
17, 0.17000, 27.99404
18, 0.18000, 29.88171
19, 0.19000, 37.14799
20, 0.20000, 33.81707
21, 0.21000, 54.08724
22, 0.22000, 39.50070
23, 0.23000, 48.66447
24, 0.24000, 54.73282
25, 0.25000, 44.74520
26, 0.26000, 46.78041
27, 0.27000, 46.63464
28, 0.28000, 56.27729
29, 0.29000, 35.47364
30, 0.30000, 37.13774
31, 0.31000, 38.11231
32, 0.32000, 34.37063
33, 0.33000, 30.30265
34, 0.34000, 25.02131
35, 0.35000, 36.71351
36, 0.36000, 28.27376
37, 0.37000, 29.52043
38, 0.38000, 41.54027
39, 0.39000, 38.55441
40, 0.40000, 36.69363
41, 0.41000, 30.02668
42, 0.42000, 39.46869
43, 0.43000, 20.64084
44, 0.44000, 30.40076
45, 0.45000, 41.53880
46, 0.46000, 27.71944
47, 0.47000, 29.34527
48, 0.48000, 22.37632
49, 0.49000, 21.50359
50, 0.50000, 15.77075
51, 0.51000, 13.54890
52, 0.52000, 14.94054
53, 0.53000, 17.42942
54, 0.54000, 17.24582
55, 0.55000, 19.22842
56, 0.56000, 23.58130
57, 0.57000, 18.49185
58, 0.58000, 21.49286
59, 0.59000, 16.51975
60, 0.60000, 22.12251
61, 0.61000, 21.24284
62, 0.62000, 21.99196
63, 0.63000, 25.97550
64, 0.64000, 24.58728
65, 0.65000, 19.15410
66, 0.66000, 28.02379
67, 0.67000, 25.17773
68, 0.68000, 37.87917
69, 0.69000, 32.50252
70, 0.70000, 20.33445
71, 0.71000, 21.18562
72, 0.72000, 16.42090
73, 0.73000, 26.57777
74, 0.74000, 27.16979
75, 0.75000, 27.01424
76, 0.76000, 18.76460
77, 0.77000, 24.57597
78, 0.78000, 31.59441
79, 0.79000, 27.41914
80, 0.80000, 29.25071
81, 0.81000, 31.52662
82, 0.82000, 42.14849
83, 0.83000, 26.63493
84, 0.84000, 34.10606
85, 0.85000, 32.17520
86, 0.86000, 28.41276
87, 0.87000, 24.38377
88, 0.88000, 20.26132
89, 0.89000, 33.91498
