nt, t, solve_time
1, 0.01000, 65.26911
2, 0.02000, 52.02546
3, 0.03000, 39.09718
4, 0.04000, 49.36825
5, 0.05000, 41.41841
6, 0.06000, 56.37701
7, 0.07000, 52.31753
8, 0.08000, 43.29160
9, 0.09000, 45.76005
10, 0.10000, 37.03789
11, 0.11000, 33.10595
12, 0.12000, 34.28249
13, 0.13000, 44.05540
14, 0.14000, 38.71354
15, 0.15000, 21.88852
16, 0.16000, 38.05367
17, 0.17000, 38.44834
18, 0.18000, 36.73011
19, 0.19000, 38.89864
20, 0.20000, 39.46382
21, 0.21000, 40.89981
22, 0.22000, 39.24019
23, 0.23000, 38.38552
24, 0.24000, 49.36578
25, 0.25000, 48.46649
26, 0.26000, 49.50591
27, 0.27000, 59.04009
28, 0.28000, 50.32290
29, 0.29000, 44.61768
30, 0.30000, 62.72351
31, 0.31000, 44.67406
32, 0.32000, 51.31339
33, 0.33000, 29.88358
34, 0.34000, 44.59637
35, 0.35000, 35.19391
36, 0.36000, 25.50765
37, 0.37000, 21.34225
38, 0.38000, 19.94719
39, 0.39000, 50.81969
40, 0.40000, 26.40481
41, 0.41000, 51.84453
42, 0.42000, 30.76740
43, 0.43000, 44.78910
44, 0.44000, 46.54420
45, 0.45000, 29.23288
46, 0.46000, 18.32179
47, 0.47000, 18.04827
48, 0.48000, 27.11728
49, 0.49000, 23.75672
50, 0.50000, 27.30590
51, 0.51000, 31.67263
52, 0.52000, 31.72886
53, 0.53000, 14.38812
54, 0.54000, 23.33013
55, 0.55000, 17.03951
56, 0.56000, 18.05041
57, 0.57000, 16.50271
58, 0.58000, 15.35140
59, 0.59000, 16.70491
60, 0.60000, 37.59418
61, 0.61000, 34.34256
62, 0.62000, 24.80793
63, 0.63000, 23.21435
64, 0.64000, 23.49355
65, 0.65000, 36.32461
66, 0.66000, 30.07880
67, 0.67000, 19.97431
68, 0.68000, 22.37448
69, 0.69000, 24.21082
70, 0.70000, 19.93830
71, 0.71000, 23.87911
72, 0.72000, 26.29316
73, 0.73000, 24.44093
74, 0.74000, 25.77625
75, 0.75000, 31.35986
76, 0.76000, 26.32911
77, 0.77000, 25.74906
78, 0.78000, 23.62463
79, 0.79000, 18.54918
80, 0.80000, 22.88822
81, 0.81000, 34.29713
82, 0.82000, 26.27110
83, 0.83000, 30.64258
84, 0.84000, 33.79592
85, 0.85000, 26.00141
86, 0.86000, 17.44807
87, 0.87000, 31.46246
88, 0.88000, 26.38365
89, 0.89000, 33.91988
90, 0.90000, 32.14178
91, 0.91000, 24.34208
92, 0.92000, 19.88276
93, 0.93000, 30.40224
94, 0.94000, 22.05113
95, 0.95000, 32.42933
96, 0.96000, 33.58393
