nt, t, solve_time
1, 0.01000, 64.90268
2, 0.02000, 63.44386
3, 0.03000, 35.35475
4, 0.04000, 24.22108
5, 0.05000, 39.41278
6, 0.06000, 35.58518
7, 0.07000, 49.15534
8, 0.08000, 40.82583
9, 0.09000, 35.33422
10, 0.10000, 34.36478
11, 0.11000, 26.94884
12, 0.12000, 36.85531
13, 0.13000, 28.84386
14, 0.14000, 20.11430
15, 0.15000, 22.45026
16, 0.16000, 43.82263
17, 0.17000, 33.62209
18, 0.18000, 24.60761
19, 0.19000, 34.34982
20, 0.20000, 38.62170
21, 0.21000, 33.55511
22, 0.22000, 36.03425
23, 0.23000, 20.82619
24, 0.24000, 32.76865
25, 0.25000, 31.49637
26, 0.26000, 29.42244
27, 0.27000, 41.42153
28, 0.28000, 30.03500
29, 0.29000, 40.08216
30, 0.30000, 26.03087
31, 0.31000, 42.49893
32, 0.32000, 31.44605
33, 0.33000, 29.44784
34, 0.34000, 34.15463
35, 0.35000, 35.64381
36, 0.36000, 25.18791
37, 0.37000, 40.36099
38, 0.38000, 24.65926
39, 0.39000, 39.43574
40, 0.40000, 38.43560
41, 0.41000, 23.77845
42, 0.42000, 24.24820
43, 0.43000, 26.04489
44, 0.44000, 25.86589
45, 0.45000, 30.51376
46, 0.46000, 29.76603
47, 0.47000, 19.64732
48, 0.48000, 15.34967
49, 0.49000, 25.52892
50, 0.50000, 30.26456
51, 0.51000, 22.81602
52, 0.52000, 24.42894
53, 0.53000, 28.63624
54, 0.54000, 25.32094
55, 0.55000, 25.94079
56, 0.56000, 26.10886
57, 0.57000, 17.56711
58, 0.58000, 24.83059
59, 0.59000, 16.47119
60, 0.60000, 15.92320
61, 0.61000, 22.60886
62, 0.62000, 17.32196
63, 0.63000, 25.70106
64, 0.64000, 26.22939
65, 0.65000, 18.23408
66, 0.66000, 15.07009
67, 0.67000, 9.58114
68, 0.68000, 14.19940
69, 0.69000, 12.49646
70, 0.70000, 16.44966
71, 0.71000, 21.91756
72, 0.72000, 18.03851
73, 0.73000, 16.82095
74, 0.74000, 16.18027
75, 0.75000, 18.05353
76, 0.76000, 25.68791
77, 0.77000, 13.05828
78, 0.78000, 16.31571
79, 0.79000, 14.45125
80, 0.80000, 12.42913
81, 0.81000, 17.82041
82, 0.82000, 25.22820
83, 0.83000, 27.42404
84, 0.84000, 33.00916
85, 0.85000, 32.61167
86, 0.86000, 23.30291
87, 0.87000, 21.42831
88, 0.88000, 29.35479
89, 0.89000, 23.86007
90, 0.90000, 27.04006
91, 0.91000, 18.46696
92, 0.92000, 26.07825
93, 0.93000, 26.44441
94, 0.94000, 25.33527
95, 0.95000, 27.95443
96, 0.96000, 31.62786
97, 0.97000, 30.24388
98, 0.98000, 32.62797
99, 0.99000, 29.16286
100, 1.00000, 25.82179
101, 1.01000, 26.73075
102, 1.02000, 30.70164
103, 1.03000, 29.54813
104, 1.04000, 29.82429
105, 1.05000, 24.43805
106, 1.06000, 20.06014
107, 1.07000, 24.28240
108, 1.08000, 24.36313
109, 1.09000, 27.44250
110, 1.10000, 30.23249
111, 1.11000, 26.17303
112, 1.12000, 30.56014
113, 1.13000, 31.86246
114, 1.14000, 30.82435
115, 1.15000, 13.13388
116, 1.16000, 28.08648
117, 1.17000, 30.48456
118, 1.18000, 26.12406
119, 1.19000, 22.19773
120, 1.20000, 25.96073
121, 1.21000, 27.88237
122, 1.22000, 28.57075
123, 1.23000, 26.06031
124, 1.24000, 23.32423
125, 1.25000, 28.44402
126, 1.26000, 28.72917
127, 1.27000, 23.74012
128, 1.28000, 38.74593
129, 1.29000, 38.77572
130, 1.30000, 28.91495
131, 1.31000, 34.63960
132, 1.32000, 42.09119
133, 1.33000, 29.67947
134, 1.34000, 43.75045
135, 1.35000, 27.63858
136, 1.36000, 23.31558
137, 1.37000, 37.91516
138, 1.38000, 39.44208
139, 1.39000, 33.91578
140, 1.40000, 41.32232
141, 1.41000, 41.03170
142, 1.42000, 40.71266
143, 1.43000, 46.02720
144, 1.44000, 27.68428
145, 1.45000, 31.09796
146, 1.46000, 40.33890
147, 1.47000, 29.63188
148, 1.48000, 36.58929
149, 1.49000, 40.44126
150, 1.50000, 52.70361
151, 1.51000, 46.92929
152, 1.52000, 47.48516
153, 1.53000, 38.31098
154, 1.54000, 33.66233
155, 1.55000, 40.88240
156, 1.56000, 33.35371
157, 1.57000, 39.46380
158, 1.58000, 42.79637
159, 1.59000, 32.84554
160, 1.60000, 35.21633
161, 1.61000, 31.31510
162, 1.62000, 33.22742
163, 1.63000, 30.95666
164, 1.64000, 25.96005
165, 1.65000, 32.48546
166, 1.66000, 39.20830
167, 1.67000, 32.71494
168, 1.68000, 27.00026
169, 1.69000, 32.55516
170, 1.70000, 25.32585
171, 1.71000, 31.96632
172, 1.72000, 22.30205
173, 1.73000, 37.02288
174, 1.74000, 30.71482
175, 1.75000, 31.36976
176, 1.76000, 31.52042
177, 1.77000, 28.22071
178, 1.78000, 16.23684
179, 1.79000, 28.17870
180, 1.80000, 31.15258
181, 1.81000, 22.45109
182, 1.82000, 29.58673
183, 1.83000, 29.30573
184, 1.84000, 19.26668
185, 1.85000, 23.20669
186, 1.86000, 31.29565
187, 1.87000, 26.49184
188, 1.88000, 29.22966
189, 1.89000, 27.65277
190, 1.90000, 30.48317
191, 1.91000, 27.53647
192, 1.92000, 24.92446
193, 1.93000, 29.20264
194, 1.94000, 30.05518
195, 1.95000, 46.12211
196, 1.96000, 30.69756
197, 1.97000, 25.80865
198, 1.98000, 22.55687
199, 1.99000, 23.72337
200, 2.00000, 27.08649
201, 2.01000, 28.78262
202, 2.02000, 26.90364
203, 2.03000, 34.81337
204, 2.04000, 39.75501
205, 2.05000, 43.50699
206, 2.06000, 45.56956
207, 2.07000, 34.39251
208, 2.08000, 33.45608
209, 2.09000, 27.96162
210, 2.10000, 30.04303
211, 2.11000, 33.58236
212, 2.12000, 31.90698
213, 2.13000, 33.01849
