nt, t, solve_time
1, 0.01000, 82.82391
2, 0.02000, 58.91427
3, 0.03000, 48.76628
4, 0.04000, 48.39582
5, 0.05000, 54.50501
6, 0.06000, 60.80099
7, 0.07000, 27.34746
8, 0.08000, 33.91312
9, 0.09000, 43.35456
10, 0.10000, 39.84660
11, 0.11000, 43.18971
12, 0.12000, 27.48541
13, 0.13000, 22.86231
14, 0.14000, 30.34636
15, 0.15000, 24.44754
16, 0.16000, 27.95811
17, 0.17000, 33.39512
18, 0.18000, 34.96533
19, 0.19000, 30.78438
20, 0.20000, 49.81069
21, 0.21000, 40.68744
22, 0.22000, 28.37169
23, 0.23000, 43.02948
24, 0.24000, 52.11819
25, 0.25000, 39.76283
26, 0.26000, 30.69468
27, 0.27000, 32.88276
28, 0.28000, 34.87706
29, 0.29000, 29.42442
30, 0.30000, 33.55306
31, 0.31000, 35.32248
32, 0.32000, 27.62256
33, 0.33000, 27.96129
34, 0.34000, 27.32390
35, 0.35000, 34.37078
36, 0.36000, 33.44131
37, 0.37000, 37.86302
38, 0.38000, 35.25593
39, 0.39000, 19.83553
40, 0.40000, 20.96546
41, 0.41000, 20.67114
42, 0.42000, 25.51180
43, 0.43000, 20.04632
44, 0.44000, 15.17697
45, 0.45000, 16.07269
46, 0.46000, 18.00746
47, 0.47000, 24.66158
48, 0.48000, 19.37993
49, 0.49000, 26.89808
50, 0.50000, 19.68473
51, 0.51000, 25.04789
52, 0.52000, 28.35828
53, 0.53000, 33.45571
54, 0.54000, 37.49787
55, 0.55000, 26.40240
56, 0.56000, 25.06342
57, 0.57000, 23.42802
58, 0.58000, 16.35428
59, 0.59000, 16.11441
60, 0.60000, 18.60089
61, 0.61000, 28.40287
62, 0.62000, 21.13320
63, 0.63000, 16.20136
64, 0.64000, 18.06689
65, 0.65000, 15.53220
66, 0.66000, 14.36728
67, 0.67000, 17.56768
68, 0.68000, 15.38766
69, 0.69000, 18.56358
70, 0.70000, 16.94861
71, 0.71000, 18.75103
72, 0.72000, 21.92880
73, 0.73000, 13.52057
74, 0.74000, 20.39009
75, 0.75000, 16.25248
76, 0.76000, 17.00078
77, 0.77000, 15.29273
78, 0.78000, 21.78372
79, 0.79000, 15.46152
80, 0.80000, 20.56123
81, 0.81000, 19.47351
82, 0.82000, 14.87325
83, 0.83000, 12.72534
84, 0.84000, 16.98740
85, 0.85000, 23.69142
86, 0.86000, 19.31316
87, 0.87000, 19.56341
88, 0.88000, 20.35922
89, 0.89000, 20.19162
90, 0.90000, 21.25601
91, 0.91000, 20.68612
92, 0.92000, 20.46371
93, 0.93000, 15.34660
94, 0.94000, 15.81412
95, 0.95000, 18.14833
96, 0.96000, 17.47639
97, 0.97000, 13.60055
98, 0.98000, 11.54882
99, 0.99000, 16.16213
100, 1.00000, 10.39182
101, 1.01000, 16.57463
102, 1.02000, 19.61096
103, 1.03000, 23.73733
104, 1.04000, 15.69524
105, 1.05000, 26.83542
106, 1.06000, 28.91606
107, 1.07000, 30.40017
108, 1.08000, 23.88512
109, 1.09000, 28.50691
110, 1.10000, 31.78866
111, 1.11000, 25.57408
112, 1.12000, 29.74540
113, 1.13000, 35.86294
114, 1.14000, 37.14776
115, 1.15000, 35.18781
116, 1.16000, 30.32872
117, 1.17000, 24.02658
118, 1.18000, 26.34712
119, 1.19000, 31.10187
120, 1.20000, 27.06901
121, 1.21000, 31.03347
122, 1.22000, 38.97195
123, 1.23000, 35.20959
124, 1.24000, 25.73114
125, 1.25000, 26.80801
126, 1.26000, 17.75538
127, 1.27000, 24.99774
128, 1.28000, 36.89850
129, 1.29000, 35.61144
130, 1.30000, 32.79042
131, 1.31000, 29.36597
132, 1.32000, 34.40407
133, 1.33000, 38.47184
134, 1.34000, 23.33868
135, 1.35000, 29.59389
136, 1.36000, 21.26012
137, 1.37000, 29.05695
138, 1.38000, 29.73994
139, 1.39000, 25.84057
140, 1.40000, 25.32623
141, 1.41000, 23.88562
142, 1.42000, 25.43924
143, 1.43000, 24.02963
144, 1.44000, 20.95483
145, 1.45000, 24.06174
146, 1.46000, 36.97000
147, 1.47000, 19.35774
148, 1.48000, 19.71573
149, 1.49000, 25.54904
150, 1.50000, 32.66033
151, 1.51000, 27.53154
152, 1.52000, 34.65266
153, 1.53000, 22.76184
154, 1.54000, 30.36505
155, 1.55000, 31.65348
156, 1.56000, 26.09385
157, 1.57000, 29.87943
158, 1.58000, 30.62558
159, 1.59000, 33.68310
160, 1.60000, 32.68732
161, 1.61000, 27.12992
162, 1.62000, 28.28103
163, 1.63000, 28.88781
164, 1.64000, 35.44743
165, 1.65000, 25.83238
166, 1.66000, 35.29649
167, 1.67000, 33.37440
168, 1.68000, 27.58790
169, 1.69000, 30.39808
170, 1.70000, 35.21003
171, 1.71000, 31.24931
172, 1.72000, 32.94470
173, 1.73000, 29.12816
174, 1.74000, 21.51642
175, 1.75000, 23.71071
176, 1.76000, 21.52184
177, 1.77000, 34.93363
178, 1.78000, 30.65142
179, 1.79000, 31.01444
180, 1.80000, 29.56559
181, 1.81000, 37.09491
182, 1.82000, 31.03135
