nt, t, solve_time
1, 0.01000, 57.95925
2, 0.02000, 57.08455
3, 0.03000, 46.28720
4, 0.04000, 50.95245
5, 0.05000, 32.77339
6, 0.06000, 46.35588
7, 0.07000, 47.63586
8, 0.08000, 43.28232
9, 0.09000, 43.48583
10, 0.10000, 25.75176
11, 0.11000, 35.94468
12, 0.12000, 31.12849
13, 0.13000, 19.52784
14, 0.14000, 25.31029
15, 0.15000, 34.22241
16, 0.16000, 35.72843
17, 0.17000, 34.04951
18, 0.18000, 41.11208
19, 0.19000, 47.74317
20, 0.20000, 47.41794
21, 0.21000, 41.67945
22, 0.22000, 22.44385
23, 0.23000, 23.60549
24, 0.24000, 38.94142
25, 0.25000, 48.59593
26, 0.26000, 48.33540
27, 0.27000, 60.52848
28, 0.28000, 58.77378
29, 0.29000, 54.32018
30, 0.30000, 44.13250
31, 0.31000, 34.59347
32, 0.32000, 57.11562
33, 0.33000, 33.28589
34, 0.34000, 50.00634
35, 0.35000, 38.83584
36, 0.36000, 46.60349
37, 0.37000, 34.83605
38, 0.38000, 27.43068
39, 0.39000, 33.05547
40, 0.40000, 46.21267
41, 0.41000, 33.06748
42, 0.42000, 31.83958
43, 0.43000, 34.47280
44, 0.44000, 41.30047
45, 0.45000, 43.28056
46, 0.46000, 31.10468
47, 0.47000, 23.85349
48, 0.48000, 38.51389
49, 0.49000, 34.66332
50, 0.50000, 27.31970
51, 0.51000, 33.84624
52, 0.52000, 34.61270
53, 0.53000, 29.66980
54, 0.54000, 15.92488
55, 0.55000, 19.39100
56, 0.56000, 16.84349
57, 0.57000, 24.77809
58, 0.58000, 20.81440
59, 0.59000, 19.64439
60, 0.60000, 25.87133
61, 0.61000, 29.54163
62, 0.62000, 23.49979
63, 0.63000, 29.42070
64, 0.64000, 30.14829
65, 0.65000, 32.79493
66, 0.66000, 24.26698
67, 0.67000, 29.29685
68, 0.68000, 28.43457
69, 0.69000, 33.76321
70, 0.70000, 21.52847
71, 0.71000, 27.30402
72, 0.72000, 20.80662
73, 0.73000, 23.02814
74, 0.74000, 28.15963
75, 0.75000, 16.12661
76, 0.76000, 27.06745
77, 0.77000, 22.49367
78, 0.78000, 16.91548
79, 0.79000, 23.19117
80, 0.80000, 24.08524
81, 0.81000, 22.06614
82, 0.82000, 29.09421
83, 0.83000, 34.87585
84, 0.84000, 28.53683
85, 0.85000, 29.64091
86, 0.86000, 23.25478
87, 0.87000, 18.51196
88, 0.88000, 22.73439
89, 0.89000, 35.11770
90, 0.90000, 30.56652
91, 0.91000, 36.60151
92, 0.92000, 46.78669
93, 0.93000, 41.44879
94, 0.94000, 34.97627
95, 0.95000, 35.10333
96, 0.96000, 40.04723
97, 0.97000, 35.12222
98, 0.98000, 31.59906
99, 0.99000, 30.97910
100, 1.00000, 24.11527
101, 1.01000, 25.48877
102, 1.02000, 36.82224
103, 1.03000, 33.69479
104, 1.04000, 31.99294
105, 1.05000, 30.17392
106, 1.06000, 26.18728
107, 1.07000, 27.17121
108, 1.08000, 31.15625
109, 1.09000, 30.74165
110, 1.10000, 32.03104
111, 1.11000, 38.21953
112, 1.12000, 34.25531
113, 1.13000, 37.48215
114, 1.14000, 29.15819
115, 1.15000, 29.84408
116, 1.16000, 34.30767
117, 1.17000, 39.91770
118, 1.18000, 41.59678
119, 1.19000, 33.87040
120, 1.20000, 26.44035
121, 1.21000, 37.91930
122, 1.22000, 36.75686
123, 1.23000, 42.95111
124, 1.24000, 37.14268
125, 1.25000, 42.72428
126, 1.26000, 48.69861
127, 1.27000, 63.15818
128, 1.28000, 33.62579
129, 1.29000, 56.63794
130, 1.30000, 28.63654
131, 1.31000, 33.70026
132, 1.32000, 30.64083
133, 1.33000, 54.72154
134, 1.34000, 35.67650
135, 1.35000, 34.09132
136, 1.36000, 43.85097
137, 1.37000, 29.79750
138, 1.38000, 23.60730
139, 1.39000, 27.20107
140, 1.40000, 31.49725
141, 1.41000, 32.31065
142, 1.42000, 34.70377
143, 1.43000, 27.56775
144, 1.44000, 44.90495
145, 1.45000, 31.48265
146, 1.46000, 33.93397
147, 1.47000, 34.31101
148, 1.48000, 37.09318
149, 1.49000, 34.40457
150, 1.50000, 28.47009
151, 1.51000, 39.91074
152, 1.52000, 31.73008
153, 1.53000, 43.75613
154, 1.54000, 33.48116
155, 1.55000, 32.71622
156, 1.56000, 30.17664
157, 1.57000, 27.82058
158, 1.58000, 31.79279
159, 1.59000, 26.41032
160, 1.60000, 38.85627
161, 1.61000, 25.59799
162, 1.62000, 38.04073
163, 1.63000, 42.11461
164, 1.64000, 36.77938
165, 1.65000, 36.50592
166, 1.66000, 27.02381
167, 1.67000, 34.98534
168, 1.68000, 33.04140
169, 1.69000, 47.34778
170, 1.70000, 45.22942
171, 1.71000, 31.78169
172, 1.72000, 27.08396
173, 1.73000, 23.58585
174, 1.74000, 30.41441
175, 1.75000, 46.69565
176, 1.76000, 22.53651
177, 1.77000, 33.86288
178, 1.78000, 31.34655
179, 1.79000, 33.25914
180, 1.80000, 45.90630
181, 1.81000, 29.57395
182, 1.82000, 40.55161
183, 1.83000, 52.88245
184, 1.84000, 42.75101
185, 1.85000, 34.85972
186, 1.86000, 40.95568
187, 1.87000, 35.00431
188, 1.88000, 41.45104
189, 1.89000, 34.03151
190, 1.90000, 34.92672
191, 1.91000, 44.10231
192, 1.92000, 32.71959
193, 1.93000, 35.18401
194, 1.94000, 38.41204
195, 1.95000, 44.03394
196, 1.96000, 46.58399
197, 1.97000, 34.91314
198, 1.98000, 33.34359
199, 1.99000, 30.89839
200, 2.00000, 31.33627
201, 2.01000, 27.49399
202, 2.02000, 23.13222
203, 2.03000, 33.88526
204, 2.04000, 21.63953
205, 2.05000, 41.06830
206, 2.06000, 33.53637
207, 2.07000, 32.71335
208, 2.08000, 31.10907
209, 2.09000, 32.19505
210, 2.10000, 31.75403
211, 2.11000, 30.32148
212, 2.12000, 22.09330
213, 2.13000, 19.46685
214, 2.14000, 24.16181
215, 2.15000, 27.12123
216, 2.16000, 30.54176
217, 2.17000, 27.90234
218, 2.18000, 27.69958
219, 2.19000, 26.14272
220, 2.20000, 26.96474
221, 2.21000, 27.76940
222, 2.22000, 33.02061
223, 2.23000, 29.65829
224, 2.24000, 34.33125
225, 2.25000, 31.27379
226, 2.26000, 29.76285
227, 2.27000, 24.68146
228, 2.28000, 24.58046
229, 2.29000, 26.05166
230, 2.30000, 28.73373
231, 2.31000, 22.11831
232, 2.32000, 21.80368
233, 2.33000, 20.97020
234, 2.34000, 24.89432
235, 2.35000, 26.54622
236, 2.36000, 27.77438
237, 2.37000, 20.18651
238, 2.38000, 24.31492
239, 2.39000, 19.91011
240, 2.40000, 23.72736
241, 2.41000, 31.61087
242, 2.42000, 25.29932
243, 2.43000, 18.32383
244, 2.44000, 20.04904
245, 2.45000, 18.82473
246, 2.46000, 20.91453
247, 2.47000, 19.67915
248, 2.48000, 14.85969
249, 2.49000, 19.37640
250, 2.50000, 22.60400
251, 2.51000, 25.15043
252, 2.52000, 29.21772
253, 2.53000, 29.33436
254, 2.54000, 25.59989
255, 2.55000, 26.17410
256, 2.56000, 22.81126
257, 2.57000, 21.33772
258, 2.58000, 17.74265
259, 2.59000, 23.34083
260, 2.60000, 27.01309
261, 2.61000, 27.91854
262, 2.62000, 29.88745
263, 2.63000, 23.12811
264, 2.64000, 29.00841
265, 2.65000, 31.68463
266, 2.66000, 31.27089
267, 2.67000, 29.34588
268, 2.68000, 27.61619
269, 2.69000, 25.61497
270, 2.70000, 25.81235
271, 2.71000, 29.37961
272, 2.72000, 33.55058
273, 2.73000, 27.49250
274, 2.74000, 25.70390
