nt, t, solve_time
1, 0.01000, 63.45844
2, 0.02000, 37.31798
3, 0.03000, 39.50890
4, 0.04000, 63.85169
5, 0.05000, 47.43137
6, 0.06000, 73.16340
7, 0.07000, 43.30525
8, 0.08000, 61.74520
9, 0.09000, 31.24757
10, 0.10000, 36.96878
11, 0.11000, 50.26034
12, 0.12000, 57.41703
13, 0.13000, 49.64466
14, 0.14000, 32.57291
15, 0.15000, 48.28772
16, 0.16000, 51.42435
17, 0.17000, 42.81029
18, 0.18000, 42.47859
19, 0.19000, 34.56457
20, 0.20000, 32.99425
21, 0.21000, 28.83386
22, 0.22000, 59.31028
23, 0.23000, 49.50622
24, 0.24000, 34.01183
25, 0.25000, 41.97056
26, 0.26000, 51.18398
27, 0.27000, 48.14301
28, 0.28000, 40.69621
29, 0.29000, 39.93593
30, 0.30000, 56.49530
31, 0.31000, 41.10488
32, 0.32000, 32.80832
33, 0.33000, 33.46954
34, 0.34000, 29.51369
35, 0.35000, 42.01278
36, 0.36000, 48.07853
37, 0.37000, 39.93766
38, 0.38000, 45.63839
39, 0.39000, 34.12076
40, 0.40000, 30.57682
41, 0.41000, 38.65287
42, 0.42000, 40.49021
43, 0.43000, 24.63041
44, 0.44000, 32.88230
45, 0.45000, 21.76153
46, 0.46000, 20.60465
47, 0.47000, 26.78990
48, 0.48000, 27.57178
49, 0.49000, 20.90608
50, 0.50000, 19.25698
51, 0.51000, 13.18096
52, 0.52000, 13.56176
53, 0.53000, 16.86416
54, 0.54000, 29.06124
55, 0.55000, 28.67356
56, 0.56000, 28.53983
57, 0.57000, 32.49854
58, 0.58000, 27.34159
59, 0.59000, 37.08236
60, 0.60000, 33.09350
61, 0.61000, 22.26299
62, 0.62000, 26.07829
63, 0.63000, 23.25208
64, 0.64000, 28.68036
65, 0.65000, 22.65838
66, 0.66000, 24.37894
67, 0.67000, 13.44946
68, 0.68000, 14.10395
69, 0.69000, 28.34465
70, 0.70000, 33.69454
71, 0.71000, 31.31673
72, 0.72000, 28.71520
73, 0.73000, 35.17660
74, 0.74000, 31.64875
75, 0.75000, 28.80520
76, 0.76000, 27.08845
77, 0.77000, 33.55717
78, 0.78000, 27.23814
79, 0.79000, 23.45168
80, 0.80000, 26.23855
81, 0.81000, 27.12638
82, 0.82000, 25.25065
83, 0.83000, 36.24633
84, 0.84000, 49.56454
85, 0.85000, 28.93712
86, 0.86000, 27.75436
87, 0.87000, 35.38391
88, 0.88000, 41.62546
89, 0.89000, 38.85491
90, 0.90000, 43.48831
91, 0.91000, 31.11732
92, 0.92000, 40.31337
93, 0.93000, 41.25281
94, 0.94000, 47.52776
95, 0.95000, 37.54631
96, 0.96000, 40.95117
97, 0.97000, 35.21766
98, 0.98000, 25.65525
99, 0.99000, 25.24527
100, 1.00000, 38.47023
101, 1.01000, 29.33933
102, 1.02000, 46.60733
103, 1.03000, 33.34577
104, 1.04000, 36.50358
105, 1.05000, 41.10957
106, 1.06000, 36.65885
107, 1.07000, 32.59247
108, 1.08000, 31.15750
109, 1.09000, 35.23035
110, 1.10000, 32.78033
111, 1.11000, 37.46796
112, 1.12000, 47.19435
113, 1.13000, 34.40984
114, 1.14000, 37.57401
115, 1.15000, 25.58831
116, 1.16000, 27.69632
117, 1.17000, 34.73951
118, 1.18000, 36.96037
119, 1.19000, 42.21838
120, 1.20000, 32.48099
121, 1.21000, 48.74987
122, 1.22000, 27.75578
123, 1.23000, 31.97167
124, 1.24000, 47.67888
125, 1.25000, 58.11951
126, 1.26000, 37.90206
127, 1.27000, 47.26029
128, 1.28000, 47.44488
129, 1.29000, 41.77039
130, 1.30000, 47.14053
131, 1.31000, 38.86264
132, 1.32000, 37.80055
133, 1.33000, 32.59032
134, 1.34000, 29.92383
135, 1.35000, 29.94834
136, 1.36000, 29.61476
137, 1.37000, 33.85163
138, 1.38000, 39.58069
139, 1.39000, 44.94739
140, 1.40000, 34.74527
141, 1.41000, 25.60053
142, 1.42000, 26.49774
143, 1.43000, 26.17464
144, 1.44000, 27.94943
145, 1.45000, 35.69103
146, 1.46000, 22.25660
147, 1.47000, 32.72185
148, 1.48000, 38.29947
149, 1.49000, 37.19436
150, 1.50000, 39.24879
151, 1.51000, 42.22716
152, 1.52000, 35.34405
153, 1.53000, 37.17457
154, 1.54000, 45.96833
155, 1.55000, 29.46025
156, 1.56000, 35.49478
157, 1.57000, 25.88646
158, 1.58000, 31.86012
159, 1.59000, 29.11034
160, 1.60000, 35.27783
161, 1.61000, 41.99737
162, 1.62000, 41.87339
163, 1.63000, 37.90953
164, 1.64000, 49.52756
165, 1.65000, 40.71386
166, 1.66000, 30.36391
167, 1.67000, 47.42000
168, 1.68000, 42.41000
169, 1.69000, 38.80507
170, 1.70000, 19.35293
171, 1.71000, 27.59063
172, 1.72000, 36.39818
173, 1.73000, 30.17255
174, 1.74000, 29.84608
