nt, t, solve_time
1, 0.01000, 75.05945
2, 0.02000, 59.33160
3, 0.03000, 41.51937
4, 0.04000, 63.52944
5, 0.05000, 46.79181
6, 0.06000, 40.24502
7, 0.07000, 45.79309
8, 0.08000, 32.74210
9, 0.09000, 28.83227
10, 0.10000, 34.73023
11, 0.11000, 23.40207
12, 0.12000, 25.32807
13, 0.13000, 43.80045
14, 0.14000, 33.20027
15, 0.15000, 56.83816
16, 0.16000, 46.03066
17, 0.17000, 29.79501
18, 0.18000, 28.91646
19, 0.19000, 38.56330
20, 0.20000, 37.28848
21, 0.21000, 34.12242
22, 0.22000, 29.57432
23, 0.23000, 34.72500
24, 0.24000, 25.74008
25, 0.25000, 31.50766
26, 0.26000, 39.88297
27, 0.27000, 48.95778
28, 0.28000, 42.04233
29, 0.29000, 32.05629
30, 0.30000, 24.42461
31, 0.31000, 27.16546
32, 0.32000, 38.18763
33, 0.33000, 45.36860
34, 0.34000, 17.66502
35, 0.35000, 23.18335
36, 0.36000, 32.36057
37, 0.37000, 30.06016
38, 0.38000, 34.72899
39, 0.39000, 25.59262
40, 0.40000, 29.12321
41, 0.41000, 46.76159
42, 0.42000, 40.64822
43, 0.43000, 30.91713
44, 0.44000, 27.01668
45, 0.45000, 22.86323
46, 0.46000, 18.94865
47, 0.47000, 18.38103
48, 0.48000, 14.42005
49, 0.49000, 20.72851
50, 0.50000, 26.71486
51, 0.51000, 31.30213
52, 0.52000, 32.00495
53, 0.53000, 30.27374
54, 0.54000, 14.96154
55, 0.55000, 21.00456
56, 0.56000, 20.06590
57, 0.57000, 12.74078
58, 0.58000, 17.32298
59, 0.59000, 23.89144
60, 0.60000, 21.13892
61, 0.61000, 18.69346
62, 0.62000, 21.43204
63, 0.63000, 20.90910
64, 0.64000, 23.98525
65, 0.65000, 11.33631
66, 0.66000, 12.45638
67, 0.67000, 19.55967
68, 0.68000, 19.06766
69, 0.69000, 27.81610
70, 0.70000, 24.03930
71, 0.71000, 29.61312
72, 0.72000, 41.74717
73, 0.73000, 29.51793
74, 0.74000, 23.89645
75, 0.75000, 32.35118
76, 0.76000, 30.78424
77, 0.77000, 34.76517
78, 0.78000, 34.65862
79, 0.79000, 30.72069
80, 0.80000, 23.10739
81, 0.81000, 32.03988
82, 0.82000, 23.99485
83, 0.83000, 31.72644
84, 0.84000, 26.80029
85, 0.85000, 21.36050
86, 0.86000, 28.28867
87, 0.87000, 34.49278
88, 0.88000, 23.48147
89, 0.89000, 22.77674
90, 0.90000, 18.12846
91, 0.91000, 23.45451
92, 0.92000, 33.15869
93, 0.93000, 25.92325
94, 0.94000, 25.23413
95, 0.95000, 36.08983
96, 0.96000, 27.60439
97, 0.97000, 30.16365
98, 0.98000, 23.95899
99, 0.99000, 28.49781
100, 1.00000, 32.13124
101, 1.01000, 30.40494
102, 1.02000, 34.79640
103, 1.03000, 28.30473
104, 1.04000, 30.12955
105, 1.05000, 19.71971
106, 1.06000, 21.34700
107, 1.07000, 15.81302
108, 1.08000, 18.46565
109, 1.09000, 37.62314
110, 1.10000, 37.43270
111, 1.11000, 35.51373
112, 1.12000, 43.52983
113, 1.13000, 44.47155
114, 1.14000, 32.54961
115, 1.15000, 39.75378
116, 1.16000, 30.07471
117, 1.17000, 46.50233
118, 1.18000, 34.37002
119, 1.19000, 25.06889
120, 1.20000, 30.75913
121, 1.21000, 24.46749
122, 1.22000, 38.60707
123, 1.23000, 40.07840
124, 1.24000, 43.76959
125, 1.25000, 41.40050
126, 1.26000, 39.43133
127, 1.27000, 31.55349
128, 1.28000, 38.19685
129, 1.29000, 37.70195
130, 1.30000, 47.79437
131, 1.31000, 52.74167
132, 1.32000, 34.20263
133, 1.33000, 43.32780
134, 1.34000, 41.53038
135, 1.35000, 38.42602
136, 1.36000, 39.71586
137, 1.37000, 31.59999
138, 1.38000, 40.23067
139, 1.39000, 45.13802
140, 1.40000, 41.79985
141, 1.41000, 36.00846
142, 1.42000, 29.93348
143, 1.43000, 38.38263
144, 1.44000, 39.15319
145, 1.45000, 36.94285
146, 1.46000, 46.40577
147, 1.47000, 44.53921
148, 1.48000, 32.83506
149, 1.49000, 30.71225
150, 1.50000, 40.80296
151, 1.51000, 30.32437
152, 1.52000, 30.83685
153, 1.53000, 31.16084
154, 1.54000, 28.57054
155, 1.55000, 30.04777
156, 1.56000, 30.59075
157, 1.57000, 31.84072
158, 1.58000, 27.12575
159, 1.59000, 41.84679
160, 1.60000, 38.34347
161, 1.61000, 42.61751
162, 1.62000, 36.20014
163, 1.63000, 47.49710
164, 1.64000, 36.74317
165, 1.65000, 38.94426
166, 1.66000, 34.67055
167, 1.67000, 38.46450
168, 1.68000, 30.65611
169, 1.69000, 49.11391
170, 1.70000, 35.17870
171, 1.71000, 34.20663
172, 1.72000, 26.50957
173, 1.73000, 36.31391
174, 1.74000, 29.43347
175, 1.75000, 43.25398
176, 1.76000, 41.13855
177, 1.77000, 51.26856
178, 1.78000, 35.35846
179, 1.79000, 23.02670
180, 1.80000, 23.30903
181, 1.81000, 30.53633
182, 1.82000, 40.43058
183, 1.83000, 32.21310
184, 1.84000, 44.15267
185, 1.85000, 38.51765
186, 1.86000, 40.51033
187, 1.87000, 28.19667
188, 1.88000, 37.67575
189, 1.89000, 24.98301
190, 1.90000, 47.05118
191, 1.91000, 36.21478
192, 1.92000, 24.79183
193, 1.93000, 29.39716
194, 1.94000, 30.62382
195, 1.95000, 29.98591
196, 1.96000, 36.06030
197, 1.97000, 42.97501
198, 1.98000, 45.57562
199, 1.99000, 40.40093
200, 2.00000, 36.67173
201, 2.01000, 30.71480
202, 2.02000, 23.90889
203, 2.03000, 26.14501
204, 2.04000, 33.19637
205, 2.05000, 40.47408
206, 2.06000, 36.84771
207, 2.07000, 28.89039
208, 2.08000, 31.11224
209, 2.09000, 27.42615
210, 2.10000, 30.81277
211, 2.11000, 41.18879
212, 2.12000, 36.21250
213, 2.13000, 41.20311
214, 2.14000, 28.41630
215, 2.15000, 15.46930
216, 2.16000, 19.09216
217, 2.17000, 32.32429
218, 2.18000, 25.36714
219, 2.19000, 30.65081
220, 2.20000, 33.95533
221, 2.21000, 32.92748
222, 2.22000, 32.00590
223, 2.23000, 35.89570
224, 2.24000, 35.27816
225, 2.25000, 37.33253
226, 2.26000, 36.06403
227, 2.27000, 27.50642
228, 2.28000, 29.97233
229, 2.29000, 30.38865
230, 2.30000, 19.62432
231, 2.31000, 22.52969
232, 2.32000, 17.48173
233, 2.33000, 21.80442
234, 2.34000, 29.11669
235, 2.35000, 27.77977
236, 2.36000, 29.05296
237, 2.37000, 27.63295
238, 2.38000, 35.03457
239, 2.39000, 36.36443
240, 2.40000, 30.24600
241, 2.41000, 36.48866
242, 2.42000, 35.01342
243, 2.43000, 29.54742
244, 2.44000, 22.62530
245, 2.45000, 20.07979
246, 2.46000, 26.09353
247, 2.47000, 24.42016
248, 2.48000, 31.56777
249, 2.49000, 30.83010
250, 2.50000, 28.36102
251, 2.51000, 33.45421
252, 2.52000, 23.75832
253, 2.53000, 30.93411
254, 2.54000, 29.99623
255, 2.55000, 26.75496
256, 2.56000, 25.55931
257, 2.57000, 29.63807
258, 2.58000, 29.49529
259, 2.59000, 25.70458
260, 2.60000, 27.15331
261, 2.61000, 30.00206
262, 2.62000, 23.03849
263, 2.63000, 21.88739
264, 2.64000, 21.84669
265, 2.65000, 31.25020
266, 2.66000, 30.75157
267, 2.67000, 27.46799
268, 2.68000, 27.01314
269, 2.69000, 38.29224
270, 2.70000, 30.63068
271, 2.71000, 33.27191
272, 2.72000, 40.74364
273, 2.73000, 35.18765
274, 2.74000, 35.41612
275, 2.75000, 28.53124
276, 2.76000, 24.00490
277, 2.77000, 33.41354
278, 2.78000, 31.32330
279, 2.79000, 25.11675
280, 2.80000, 28.45539
281, 2.81000, 39.21803
282, 2.82000, 26.69304
283, 2.83000, 19.79732
284, 2.84000, 23.51308
