nt, t, solve_time
1, 0.01000, 71.27051
2, 0.02000, 37.95184
3, 0.03000, 48.63639
4, 0.04000, 44.80627
5, 0.05000, 29.48057
6, 0.06000, 59.13134
7, 0.07000, 56.50065
8, 0.08000, 40.74707
9, 0.09000, 56.44635
10, 0.10000, 46.84547
11, 0.11000, 53.97345
12, 0.12000, 33.43525
13, 0.13000, 41.26517
14, 0.14000, 62.67284
15, 0.15000, 47.82014
16, 0.16000, 39.87821
17, 0.17000, 48.57590
18, 0.18000, 36.48749
19, 0.19000, 44.81374
20, 0.20000, 60.89486
21, 0.21000, 39.65653
22, 0.22000, 38.36068
23, 0.23000, 59.42042
24, 0.24000, 64.04160
25, 0.25000, 52.22179
26, 0.26000, 48.61581
27, 0.27000, 35.16369
28, 0.28000, 50.52817
29, 0.29000, 54.99677
30, 0.30000, 30.84261
31, 0.31000, 38.46233
32, 0.32000, 57.83014
33, 0.33000, 56.93245
34, 0.34000, 40.97655
35, 0.35000, 39.46231
36, 0.36000, 51.76065
37, 0.37000, 52.44248
38, 0.38000, 50.00387
39, 0.39000, 23.80624
40, 0.40000, 14.55560
41, 0.41000, 13.46188
42, 0.42000, 19.95312
43, 0.43000, 23.56307
44, 0.44000, 31.46216
45, 0.45000, 28.67107
46, 0.46000, 33.35658
47, 0.47000, 26.26273
48, 0.48000, 24.38907
49, 0.49000, 26.01568
50, 0.50000, 20.87076
51, 0.51000, 25.61049
52, 0.52000, 28.73576
53, 0.53000, 32.55525
54, 0.54000, 19.58833
55, 0.55000, 35.89557
56, 0.56000, 24.62525
57, 0.57000, 33.33986
58, 0.58000, 26.31797
59, 0.59000, 20.31339
60, 0.60000, 17.98111
61, 0.61000, 25.72643
62, 0.62000, 25.18367
63, 0.63000, 24.89403
64, 0.64000, 18.63948
65, 0.65000, 26.51935
66, 0.66000, 29.11321
67, 0.67000, 23.11397
68, 0.68000, 24.54843
69, 0.69000, 19.41318
70, 0.70000, 19.38596
71, 0.71000, 15.27198
72, 0.72000, 31.84733
73, 0.73000, 20.71440
74, 0.74000, 15.51828
75, 0.75000, 23.77703
76, 0.76000, 30.76662
77, 0.77000, 28.28899
78, 0.78000, 17.13338
79, 0.79000, 29.97134
80, 0.80000, 20.19128
81, 0.81000, 34.88375
82, 0.82000, 44.76785
83, 0.83000, 36.89048
84, 0.84000, 29.59961
85, 0.85000, 36.72803
86, 0.86000, 27.51148
87, 0.87000, 31.40004
88, 0.88000, 27.90662
89, 0.89000, 37.96059
90, 0.90000, 32.34231
91, 0.91000, 40.91434
92, 0.92000, 35.37228
93, 0.93000, 28.40314
94, 0.94000, 29.13351
95, 0.95000, 35.37005
96, 0.96000, 34.01046
97, 0.97000, 43.93198
98, 0.98000, 44.13739
99, 0.99000, 38.14956
100, 1.00000, 25.72532
101, 1.01000, 39.01030
102, 1.02000, 39.25022
103, 1.03000, 31.13253
104, 1.04000, 39.75454
105, 1.05000, 37.09327
106, 1.06000, 31.82024
107, 1.07000, 42.64491
108, 1.08000, 57.38869
109, 1.09000, 44.24771
110, 1.10000, 43.88556
111, 1.11000, 36.87038
112, 1.12000, 39.39413
113, 1.13000, 32.16040
114, 1.14000, 41.58916
115, 1.15000, 37.06579
116, 1.16000, 41.34709
117, 1.17000, 27.64273
118, 1.18000, 39.00484
119, 1.19000, 37.46085
120, 1.20000, 37.77037
121, 1.21000, 33.00025
122, 1.22000, 44.64467
123, 1.23000, 44.01914
124, 1.24000, 52.07430
125, 1.25000, 59.07062
126, 1.26000, 34.65463
127, 1.27000, 49.61348
128, 1.28000, 46.44919
129, 1.29000, 50.43958
130, 1.30000, 37.03313
131, 1.31000, 35.61585
132, 1.32000, 30.35341
133, 1.33000, 34.37059
134, 1.34000, 35.09187
135, 1.35000, 45.91072
136, 1.36000, 40.06175
137, 1.37000, 28.88365
138, 1.38000, 28.65182
139, 1.39000, 34.70018
140, 1.40000, 26.68835
141, 1.41000, 27.58556
142, 1.42000, 25.31988
143, 1.43000, 26.36454
144, 1.44000, 31.41349
