nt, t, solve_time
1, 0.01000, 86.82019
2, 0.02000, 49.43073
3, 0.03000, 53.24961
4, 0.04000, 44.70239
5, 0.05000, 47.78178
6, 0.06000, 72.97955
7, 0.07000, 58.08200
8, 0.08000, 46.29420
9, 0.09000, 33.03558
10, 0.10000, 37.98517
11, 0.11000, 26.58310
12, 0.12000, 35.89929
13, 0.13000, 40.55873
14, 0.14000, 39.04166
15, 0.15000, 48.61672
16, 0.16000, 45.95328
17, 0.17000, 58.23572
18, 0.18000, 47.90035
19, 0.19000, 34.95338
20, 0.20000, 40.68298
21, 0.21000, 46.92310
22, 0.22000, 61.03348
23, 0.23000, 46.17908
24, 0.24000, 57.52538
25, 0.25000, 51.91673
26, 0.26000, 42.90720
27, 0.27000, 45.25590
28, 0.28000, 40.38837
29, 0.29000, 39.48117
30, 0.30000, 47.23417
31, 0.31000, 36.70062
32, 0.32000, 41.00588
33, 0.33000, 30.80998
34, 0.34000, 34.95067
35, 0.35000, 50.55822
36, 0.36000, 53.87352
37, 0.37000, 36.33646
38, 0.38000, 35.50561
39, 0.39000, 19.12836
40, 0.40000, 30.40540
41, 0.41000, 20.62246
42, 0.42000, 31.68054
43, 0.43000, 32.10372
44, 0.44000, 39.07604
45, 0.45000, 25.91437
46, 0.46000, 31.63582
47, 0.47000, 26.68433
48, 0.48000, 20.27331
49, 0.49000, 28.13754
50, 0.50000, 30.07056
51, 0.51000, 26.45352
52, 0.52000, 24.13070
53, 0.53000, 28.86773
54, 0.54000, 31.18647
55, 0.55000, 27.90123
56, 0.56000, 27.74134
57, 0.57000, 24.03576
58, 0.58000, 28.05118
59, 0.59000, 25.73617
60, 0.60000, 24.52125
61, 0.61000, 18.50551
62, 0.62000, 20.93881
63, 0.63000, 22.34460
64, 0.64000, 19.83488
65, 0.65000, 24.83310
66, 0.66000, 25.80240
67, 0.67000, 23.45869
68, 0.68000, 32.88726
69, 0.69000, 21.30838
70, 0.70000, 31.36249
71, 0.71000, 19.65950
