nt, t, solve_time
1, 0.01000, 80.51300
2, 0.02000, 41.56376
3, 0.03000, 46.69540
4, 0.04000, 48.33721
5, 0.05000, 31.88875
6, 0.06000, 26.92295
7, 0.07000, 43.65752
8, 0.08000, 34.90980
9, 0.09000, 41.59618
10, 0.10000, 26.54365
11, 0.11000, 22.63063
12, 0.12000, 36.72772
13, 0.13000, 30.45830
14, 0.14000, 28.74759
15, 0.15000, 32.29395
16, 0.16000, 18.59832
17, 0.17000, 36.93208
18, 0.18000, 33.77824
19, 0.19000, 29.91551
20, 0.20000, 36.11784
21, 0.21000, 53.24969
22, 0.22000, 64.45297
23, 0.23000, 46.05048
24, 0.24000, 49.79050
25, 0.25000, 59.05966
26, 0.26000, 37.91781
27, 0.27000, 44.74774
28, 0.28000, 51.34246
29, 0.29000, 47.73277
30, 0.30000, 46.24251
31, 0.31000, 46.03114
32, 0.32000, 43.69004
33, 0.33000, 42.06866
34, 0.34000, 33.50021
35, 0.35000, 26.60870
36, 0.36000, 32.30503
37, 0.37000, 46.42554
38, 0.38000, 32.44041
39, 0.39000, 34.40129
40, 0.40000, 37.42854
41, 0.41000, 39.41633
42, 0.42000, 21.60287
43, 0.43000, 20.07186
44, 0.44000, 20.56025
45, 0.45000, 29.95763
46, 0.46000, 23.81271
47, 0.47000, 24.88183
48, 0.48000, 37.46105
49, 0.49000, 40.82399
50, 0.50000, 31.80110
51, 0.51000, 21.17930
52, 0.52000, 17.95565
53, 0.53000, 14.64297
54, 0.54000, 11.50656
55, 0.55000, 18.93228
56, 0.56000, 16.90584
57, 0.57000, 15.28217
58, 0.58000, 21.80136
59, 0.59000, 14.84866
60, 0.60000, 25.37446
61, 0.61000, 28.83901
62, 0.62000, 24.05060
63, 0.63000, 20.18771
64, 0.64000, 18.93401
65, 0.65000, 26.34436
66, 0.66000, 27.17003
67, 0.67000, 34.13494
68, 0.68000, 31.12381
69, 0.69000, 26.86080
70, 0.70000, 25.57672
71, 0.71000, 27.47928
72, 0.72000, 27.09029
73, 0.73000, 24.78805
74, 0.74000, 32.54805
75, 0.75000, 33.30083
76, 0.76000, 28.95732
77, 0.77000, 24.38479
78, 0.78000, 22.67418
79, 0.79000, 24.55964
80, 0.80000, 23.75487
81, 0.81000, 18.68165
82, 0.82000, 23.93667
83, 0.83000, 25.75287
84, 0.84000, 29.90364
85, 0.85000, 25.21615
86, 0.86000, 19.02451
87, 0.87000, 23.27235
88, 0.88000, 25.09280
89, 0.89000, 36.61806
90, 0.90000, 30.87991
91, 0.91000, 26.76173
92, 0.92000, 24.31659
93, 0.93000, 17.88789
94, 0.94000, 26.92268
95, 0.95000, 29.31102
96, 0.96000, 30.07866
97, 0.97000, 40.17560
98, 0.98000, 26.38648
99, 0.99000, 28.95301
100, 1.00000, 22.47905
101, 1.01000, 35.07450
102, 1.02000, 29.31746
103, 1.03000, 26.64384
104, 1.04000, 35.69421
105, 1.05000, 40.25832
106, 1.06000, 28.78869
