nt, t, solve_time
1, 0.01000, 54.51271
2, 0.02000, 33.76124
3, 0.03000, 36.46532
4, 0.04000, 67.66955
5, 0.05000, 51.04627
6, 0.06000, 30.81374
7, 0.07000, 28.02740
8, 0.08000, 24.33122
9, 0.09000, 37.90246
10, 0.10000, 37.10451
11, 0.11000, 32.47509
12, 0.12000, 36.59380
13, 0.13000, 41.81558
14, 0.14000, 36.23264
15, 0.15000, 22.16852
16, 0.16000, 37.28423
17, 0.17000, 36.25128
18, 0.18000, 18.92443
19, 0.19000, 50.33899
20, 0.20000, 35.14438
21, 0.21000, 51.99479
22, 0.22000, 45.33126
23, 0.23000, 33.43050
24, 0.24000, 20.13425
25, 0.25000, 34.12206
26, 0.26000, 30.01381
27, 0.27000, 40.39081
28, 0.28000, 51.10568
29, 0.29000, 46.93165
30, 0.30000, 55.31505
31, 0.31000, 37.67208
32, 0.32000, 55.06728
33, 0.33000, 41.89909
34, 0.34000, 39.86497
35, 0.35000, 41.24872
36, 0.36000, 19.75805
37, 0.37000, 35.99229
38, 0.38000, 41.20741
39, 0.39000, 36.04639
40, 0.40000, 47.71402
41, 0.41000, 29.99805
42, 0.42000, 30.51337
43, 0.43000, 40.24154
44, 0.44000, 32.58611
45, 0.45000, 39.44910
46, 0.46000, 47.50606
47, 0.47000, 31.88708
48, 0.48000, 31.61535
49, 0.49000, 34.42089
50, 0.50000, 26.54671
51, 0.51000, 33.11245
52, 0.52000, 25.16330
53, 0.53000, 19.96185
54, 0.54000, 16.03683
55, 0.55000, 15.49047
56, 0.56000, 24.20706
57, 0.57000, 29.04247
58, 0.58000, 19.09835
59, 0.59000, 31.37999
60, 0.60000, 21.27139
61, 0.61000, 25.76949
62, 0.62000, 34.29927
63, 0.63000, 38.04337
64, 0.64000, 27.84923
65, 0.65000, 28.90301
66, 0.66000, 34.52420
67, 0.67000, 24.47361
68, 0.68000, 18.94419
69, 0.69000, 39.55578
70, 0.70000, 24.83944
71, 0.71000, 22.32515
72, 0.72000, 22.15780
73, 0.73000, 18.50217
74, 0.74000, 25.51131
75, 0.75000, 34.73391
76, 0.76000, 29.04966
77, 0.77000, 25.58148
78, 0.78000, 38.70325
79, 0.79000, 32.71753
80, 0.80000, 25.17192
81, 0.81000, 23.53211
82, 0.82000, 26.16850
83, 0.83000, 23.33048
84, 0.84000, 33.22281
85, 0.85000, 27.39200
86, 0.86000, 27.64389
87, 0.87000, 43.18487
88, 0.88000, 30.49131
89, 0.89000, 30.38715
90, 0.90000, 30.85700
91, 0.91000, 36.19372
92, 0.92000, 21.42789
93, 0.93000, 28.95593
94, 0.94000, 30.83029
95, 0.95000, 26.97277
96, 0.96000, 28.85294
97, 0.97000, 31.96248
98, 0.98000, 43.07000
99, 0.99000, 23.52534
100, 1.00000, 29.10210
101, 1.01000, 34.17014
102, 1.02000, 32.27743
103, 1.03000, 29.00506
104, 1.04000, 21.55604
105, 1.05000, 36.38773
106, 1.06000, 30.46983
