nt, t, solve_time
1, 0.01000, 53.11165
2, 0.02000, 64.73232
3, 0.03000, 32.43566
4, 0.04000, 59.75454
5, 0.05000, 54.43262
6, 0.06000, 52.20804
7, 0.07000, 52.19872
8, 0.08000, 23.99643
9, 0.09000, 21.04174
10, 0.10000, 29.30886
11, 0.11000, 35.46006
12, 0.12000, 41.90278
13, 0.13000, 44.66237
14, 0.14000, 31.04412
15, 0.15000, 35.21893
16, 0.16000, 33.20092
17, 0.17000, 28.33150
18, 0.18000, 26.10362
19, 0.19000, 22.19060
20, 0.20000, 23.74783
21, 0.21000, 40.09224
22, 0.22000, 39.59837
23, 0.23000, 29.70539
24, 0.24000, 42.57374
25, 0.25000, 28.10872
26, 0.26000, 41.50382
27, 0.27000, 37.81072
28, 0.28000, 27.68743
29, 0.29000, 30.33402
30, 0.30000, 26.80142
31, 0.31000, 48.21339
32, 0.32000, 30.95585
33, 0.33000, 22.54392
34, 0.34000, 29.84802
35, 0.35000, 40.52845
36, 0.36000, 51.15203
37, 0.37000, 30.09000
38, 0.38000, 40.90737
39, 0.39000, 26.02918
40, 0.40000, 25.46662
41, 0.41000, 40.76940
42, 0.42000, 37.97865
43, 0.43000, 29.06202
44, 0.44000, 20.50712
45, 0.45000, 43.50292
46, 0.46000, 22.59700
47, 0.47000, 22.39370
48, 0.48000, 13.45229
49, 0.49000, 11.81009
50, 0.50000, 13.82673
51, 0.51000, 22.13561
52, 0.52000, 25.70540
53, 0.53000, 30.75277
54, 0.54000, 12.43869
55, 0.55000, 19.31775
56, 0.56000, 25.31196
57, 0.57000, 18.88882
58, 0.58000, 22.45988
59, 0.59000, 19.02756
60, 0.60000, 22.99544
61, 0.61000, 27.18329
62, 0.62000, 16.85277
63, 0.63000, 35.69560
64, 0.64000, 28.39645
65, 0.65000, 28.64787
66, 0.66000, 15.42954
67, 0.67000, 29.89374
68, 0.68000, 24.28073
69, 0.69000, 17.72883
70, 0.70000, 29.68352
71, 0.71000, 33.12805
72, 0.72000, 26.91737
73, 0.73000, 24.82387
74, 0.74000, 20.19941
75, 0.75000, 25.03159
76, 0.76000, 38.39196
77, 0.77000, 24.68522
78, 0.78000, 17.07997
79, 0.79000, 23.34065
80, 0.80000, 22.06626
81, 0.81000, 26.82135
82, 0.82000, 32.81411
83, 0.83000, 19.10388
84, 0.84000, 24.52604
85, 0.85000, 28.59082
86, 0.86000, 26.25711
87, 0.87000, 22.66996
88, 0.88000, 23.29123
89, 0.89000, 30.71723
90, 0.90000, 27.07444
91, 0.91000, 16.76499
92, 0.92000, 22.82753
93, 0.93000, 20.12316
94, 0.94000, 28.88255
95, 0.95000, 30.68728
96, 0.96000, 31.67138
97, 0.97000, 35.34269
98, 0.98000, 35.15895
99, 0.99000, 23.86126
100, 1.00000, 26.48013
101, 1.01000, 25.53510
102, 1.02000, 25.04998
103, 1.03000, 34.53248
104, 1.04000, 28.37620
105, 1.05000, 24.32057
106, 1.06000, 23.73115
107, 1.07000, 24.06496
108, 1.08000, 26.65463
109, 1.09000, 34.92978
110, 1.10000, 37.69948
111, 1.11000, 26.50595
112, 1.12000, 32.12025
113, 1.13000, 46.04586
114, 1.14000, 33.68775
115, 1.15000, 37.69897
116, 1.16000, 32.78063
117, 1.17000, 37.20882
118, 1.18000, 34.26522
119, 1.19000, 32.73008
120, 1.20000, 24.73410
121, 1.21000, 32.73102
122, 1.22000, 37.99857
123, 1.23000, 35.36250
124, 1.24000, 36.66360
125, 1.25000, 40.25835
126, 1.26000, 35.09222
127, 1.27000, 29.85227
128, 1.28000, 28.98051
129, 1.29000, 31.15213
130, 1.30000, 38.53106
131, 1.31000, 21.62745
132, 1.32000, 34.73694
133, 1.33000, 48.25758
134, 1.34000, 47.36074
135, 1.35000, 43.91502
136, 1.36000, 32.97198
137, 1.37000, 36.30692
138, 1.38000, 38.25337
139, 1.39000, 44.15089
140, 1.40000, 24.00346
141, 1.41000, 34.87378
142, 1.42000, 31.23407
143, 1.43000, 43.79171
144, 1.44000, 59.27347
145, 1.45000, 45.95054
