nt, t, solve_time
1, 0.01000, 65.33752
2, 0.02000, 46.00847
3, 0.03000, 43.13620
4, 0.04000, 46.58702
5, 0.05000, 35.65882
6, 0.06000, 39.04628
7, 0.07000, 50.27148
8, 0.08000, 44.31625
9, 0.09000, 33.67422
10, 0.10000, 22.17742
11, 0.11000, 44.12260
12, 0.12000, 26.53749
13, 0.13000, 24.29002
14, 0.14000, 32.93726
15, 0.15000, 21.98321
16, 0.16000, 23.79328
17, 0.17000, 47.34012
18, 0.18000, 34.58146
19, 0.19000, 37.77070
20, 0.20000, 34.36055
21, 0.21000, 32.88544
22, 0.22000, 30.98382
23, 0.23000, 38.03211
24, 0.24000, 25.19805
25, 0.25000, 17.11024
26, 0.26000, 11.63594
27, 0.27000, 18.57742
28, 0.28000, 18.59596
29, 0.29000, 16.79046
30, 0.30000, 20.43995
31, 0.31000, 28.35633
32, 0.32000, 38.86578
33, 0.33000, 22.62185
34, 0.34000, 23.11292
35, 0.35000, 34.04208
36, 0.36000, 24.03670
37, 0.37000, 22.03280
38, 0.38000, 25.98266
39, 0.39000, 29.30846
40, 0.40000, 17.49429
41, 0.41000, 21.05730
42, 0.42000, 28.30046
43, 0.43000, 28.99815
44, 0.44000, 24.12514
45, 0.45000, 22.52079
46, 0.46000, 25.94424
47, 0.47000, 20.05836
48, 0.48000, 19.48047
49, 0.49000, 14.50181
50, 0.50000, 16.37090
51, 0.51000, 23.43361
52, 0.52000, 21.34841
53, 0.53000, 23.18649
54, 0.54000, 27.91829
55, 0.55000, 22.67571
56, 0.56000, 25.91510
57, 0.57000, 33.84615
58, 0.58000, 27.56443
59, 0.59000, 27.96736
60, 0.60000, 21.20432
61, 0.61000, 19.84934
62, 0.62000, 16.64290
63, 0.63000, 22.00075
64, 0.64000, 26.51427
65, 0.65000, 21.03903
66, 0.66000, 18.39219
67, 0.67000, 22.35065
68, 0.68000, 16.37489
69, 0.69000, 29.69535
70, 0.70000, 19.31388
71, 0.71000, 19.60811
72, 0.72000, 16.89663
73, 0.73000, 18.59944
74, 0.74000, 20.23216
75, 0.75000, 19.20484
76, 0.76000, 21.22710
77, 0.77000, 15.80239
78, 0.78000, 21.20178
79, 0.79000, 23.74491
80, 0.80000, 16.69062
